scheduler_name,case_range,frag_sum
AlloxScheduler,"(0, 20)",65954765155.88161
AlloxScheduler,"(0, 40)",454059015537.43085
AlloxScheduler,"(0, 60)",1656272171067.0024
AlloxScheduler,"(0, 80)",1.4408824466687324e+16
AlloxScheduler,"(0, 100)",1.440849853381381e+16
AlloxScheduler,"(0, 120)",1.441598095998781e+16
AlloxScheduler,"(0, 140)",1.4424809362753228e+16
AlloxScheduler,"(0, 160)",1.5382690404009512e+16
AlloxScheduler,"(0, 180)",1.539955606390194e+16
AlloxScheduler,"(0, 200)",1.5407470188947812e+16
AlloxScheduler,"(0, 220)",1.5432725310441206e+16
AlloxScheduler,"(0, 240)",1.5437280621630736e+16
AlloxScheduler,"(0, 260)",1.6416019811220512e+16
AlloxScheduler,"(0, 280)",3.111010220815743e+16
AlloxScheduler,"(0, 300)",3.112252296931513e+16
AlloxScheduler,"(0, 320)",3.1174772417318696e+16
AlloxScheduler,"(0, 340)",3.1220792340444396e+16
AlloxScheduler,"(0, 360)",3.1210698166760296e+16
AlloxScheduler,"(0, 380)",3.127498244506636e+16
AlloxScheduler,"(0, 400)",3.2295816191235316e+16
AlloxScheduler,"(0, 420)",3.3338769617643896e+16
ChronusScheduler,"(0, 20)",368680554464.1877
ChronusScheduler,"(0, 40)",2437308701173.8965
ChronusScheduler,"(0, 60)",4145137021270.083
ChronusScheduler,"(0, 80)",8.416613231977398e+16
ChronusScheduler,"(0, 100)",5.049189024765085e+16
ChronusScheduler,"(0, 120)",8.418935693850893e+16
ChronusScheduler,"(0, 140)",8.418763528172926e+16
ChronusScheduler,"(0, 160)",5.707688745132169e+16
ChronusScheduler,"(0, 180)",1.6533537524643854e+16
ChronusScheduler,"(0, 200)",8.636055333972538e+16
ChronusScheduler,"(0, 220)",8.639796938877555e+16
ChronusScheduler,"(0, 240)",5.270560176735418e+16
ChronusScheduler,"(0, 260)",6.390846818087962e+16
ChronusScheduler,"(0, 280)",1.0225886808247715e+17
ChronusScheduler,"(0, 300)",1.3770608246318842e+17
ChronusScheduler,"(0, 320)",1.337153646197523e+17
ChronusScheduler,"(0, 340)",1.3795772503581179e+17
ChronusScheduler,"(0, 360)",6.914358233160984e+16
ChronusScheduler,"(0, 380)",7.592124015050394e+16
ChronusScheduler,"(0, 400)",1.3929887489954093e+17
ChronusScheduler,"(0, 420)",1.4397625871153066e+17
FragScheduler,"(0, 20)",76349866300.6486
FragScheduler,"(0, 40)",466656197891.40424
FragScheduler,"(0, 60)",1784223170954.8616
FragScheduler,"(0, 80)",1.441401839637427e+16
FragScheduler,"(0, 100)",1.4421717313629426e+16
FragScheduler,"(0, 120)",1.7823164637131506e+16
FragScheduler,"(0, 140)",1.443186221473603e+16
FragScheduler,"(0, 160)",2.8586464744469412e+16
FragScheduler,"(0, 180)",2.861000978096994e+16
FragScheduler,"(0, 200)",3.0060519207846596e+16
FragScheduler,"(0, 220)",1.977347044074414e+16
FragScheduler,"(0, 240)",1.9538184766730556e+16
FragScheduler,"(0, 260)",2.101913152573989e+16
FragScheduler,"(0, 280)",3.1735093748698304e+16
FragScheduler,"(0, 300)",5.984496874912585e+16
FragScheduler,"(0, 320)",4.485369649373483e+16
FragScheduler,"(0, 340)",3.2498717264772252e+16
FragScheduler,"(0, 360)",3.855859648182307e+16
FragScheduler,"(0, 380)",3.93429242230983e+16
FragScheduler,"(0, 400)",3.6386191772480264e+16
FragScheduler,"(0, 420)",5.069206838406007e+16
GavelScheduler,"(0, 20)",219268876971.15863
GavelScheduler,"(0, 40)",2632285188641.249
GavelScheduler,"(0, 60)",4199003038544.157
GavelScheduler,"(0, 80)",8.416822575917141e+16
GavelScheduler,"(0, 100)",8.417336349078083e+16
GavelScheduler,"(0, 120)",1.441098705965571e+16
GavelScheduler,"(0, 140)",8.419782090658013e+16
GavelScheduler,"(0, 160)",9.074936819257726e+16
GavelScheduler,"(0, 180)",1.53864417365048e+16
GavelScheduler,"(0, 200)",2.1047516787917056e+16
GavelScheduler,"(0, 220)",8.638343123724216e+16
GavelScheduler,"(0, 240)",5.156456927239057e+16
GavelScheduler,"(0, 260)",9.19053377610275e+16
GavelScheduler,"(0, 280)",1.3861045619595488e+17
GavelScheduler,"(0, 300)",6.349081284602078e+16
GavelScheduler,"(0, 320)",1.406528316917418e+17
GavelScheduler,"(0, 340)",6.362365419977342e+16
GavelScheduler,"(0, 360)",6.893531559692609e+16
GavelScheduler,"(0, 380)",1.0552928255377006e+17
GavelScheduler,"(0, 400)",1.1273825865946478e+17
GavelScheduler,"(0, 420)",1.2130969967419773e+17
KMeansScheduler,"(0, 20)",70334031121.23425
KMeansScheduler,"(0, 40)",485079095057.3302
KMeansScheduler,"(0, 60)",2251126458733.1035
KMeansScheduler,"(0, 80)",1.4417572681518036e+16
KMeansScheduler,"(0, 100)",1.4430596443762102e+16
KMeansScheduler,"(0, 120)",1.44305129636438e+16
KMeansScheduler,"(0, 140)",1.443500292603624e+16
KMeansScheduler,"(0, 160)",1.5398694519857316e+16
KMeansScheduler,"(0, 180)",1.5419130597373888e+16
KMeansScheduler,"(0, 200)",1.5432347595550158e+16
KMeansScheduler,"(0, 220)",1.5461456628592676e+16
KMeansScheduler,"(0, 240)",1.54619677643991e+16
KMeansScheduler,"(0, 260)",1.6449200344778204e+16
KMeansScheduler,"(0, 280)",3.1240834041838136e+16
KMeansScheduler,"(0, 300)",3.1238056750255156e+16
KMeansScheduler,"(0, 320)",3.1306632630715824e+16
KMeansScheduler,"(0, 340)",3.124746366632424e+16
KMeansScheduler,"(0, 360)",3.1340763746474908e+16
KMeansScheduler,"(0, 380)",3.129715483948849e+16
KMeansScheduler,"(0, 400)",3.234780305275291e+16
KMeansScheduler,"(0, 420)",3.3548204402762976e+16
