Scheduler,Case Range,Average Violation Time
Allox,"(0, 50)",23.74
Allox,"(0, 100)",41.08000000000005
Allox,"(0, 150)",216.67333333333335
Allox,"(0, 200)",382.47
Allox,"(0, 250)",670.6840000000002
Allox,"(0, 300)",715.0166666666665
Allox,"(0, 350)",1193.2685714285715
Allox,"(0, 400)",1582.485
Allox,"(0, 450)",1856.535555555555
Chronus,"(0, 50)",0.0
Chronus,"(0, 100)",174.489999999999
Chronus,"(0, 150)",75.76666666666634
Chronus,"(0, 200)",138.51500000000212
Chronus,"(0, 250)",423.1439999999968
Chronus,"(0, 300)",356.47666666666396
Chronus,"(0, 350)",424.4228571428528
Chronus,"(0, 400)",225.0349999999987
Chronus,"(0, 450)",130.02000000000027
Fgt,"(0, 50)",0.0
Fgt,"(0, 100)",15.93
Fgt,"(0, 150)",97.36
Fgt,"(0, 200)",79.07
Fgt,"(0, 250)",158.364
Fgt,"(0, 300)",287.04333333333335
Fgt,"(0, 350)",275.06
Fgt,"(0, 400)",438.215
Fgt,"(0, 450)",480.6644444444444
Gavel,"(0, 50)",480.3799999999997
Gavel,"(0, 100)",221.4299999999988
Gavel,"(0, 150)",446.4733333333327
Gavel,"(0, 200)",761.98
Gavel,"(0, 250)",671.78
Gavel,"(0, 300)",997.1266666666663
Gavel,"(0, 350)",1385.474285714286
Gavel,"(0, 400)",1458.3724999999995
Gavel,"(0, 450)",1896.2533333333333
HydraPureHeuristic,"(0, 50)",0.0
HydraPureHeuristic,"(0, 100)",0.0
HydraPureHeuristic,"(0, 150)",0.0
HydraPureHeuristic,"(0, 200)",0.0
HydraPureHeuristic,"(0, 250)",0.0
HydraPureHeuristic,"(0, 300)",18.526666666666788
HydraPureHeuristic,"(0, 350)",28.22857142857127
HydraPureHeuristic,"(0, 400)",46.31999999999994
HydraPureHeuristic,"(0, 450)",107.47333333333373
